report_date,origin,product,trim_pct,delivery,region,price_low,price_high,unit,basis,source_url
2018-11-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,URUGUAY,Beef Trim,80,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-21,URUGUAY,Beef Trim,75,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/h128nj35k/dz010t31f/NW_LS421.TXT
2018-11-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,85,0-15 Days,East Coast,182.00,182.50,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,80,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,75,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,70,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,AUSTRALIA AND NEW ZEALAND,Beef Trim,65,0-15 Days,East Coast,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
2018-11-28,URUGUAY,Beef Trim,85,0-15 Days,,,,USD/cwt,FOB/TIS,https://esmis.nal.usda.gov/sites/default/release-files/c821gj77m/zc77st54n/zk51vm209/NW_LS421.TXT
